sample,chla_corrected,chla_log10
Control,0.485806207,-0.313536941
Control,0.593033703,-0.226920624
Control,0.574433015,-0.240760607
Control,0.219467933,-0.658628926
PO4,0.803112063,-0.095223851
PO4,0.472676309,-0.325436164
PO4,0.299274455,-0.523930352
PO4,0.638988344,-0.194507064
NO3,1.188255722,0.074909914
NO3,0.759345738,-0.11956044
NO3,1.194820671,0.077302727
NO3,0.603975284,-0.218980833
N+P,0.674001404,-0.171339199
N+P,0.660871507,-0.179882972
N+P,0.533949164,-0.272500089
N+P,0.516442634,-0.286977912
