sample,chla_corrected,chla_log10
Control,0.234985868,-0.628958255
Control,0.448604831,-0.348136054
Control,0.140326466,-0.852860411
Control,0.171584021,-0.76552316
PO4,0.450020106,-0.346768083
PO4,0.03569125,-1.447438244
PO4,0.531760848,-0.274283642
PO4,0.214454992,-0.66866384
NO3,0.109955651,-0.958782444
NO3,0.036134619,-1.442076516
NO3,0.042563478,-1.370962892
NO3,0.136557825,-0.864683408
N+P,0.250503803,-0.601185677
N+P,0.01246425,-1.904333845
N+P,0.012901592,-1.889356689
N+P,0.155179347,-0.809166081
